Time,AVG(temperature)
2022-11-21 23:07:04,27.3782
2022-11-21 23:20:14,28.9029
2022-11-21 23:20:19,28.4543
2022-11-21 23:21:40,28.748
2022-11-21 23:21:45,28.3688
2022-11-21 23:21:50,28.0991
2022-11-21 23:21:55,27.8615
2022-11-21 23:22:00,27.6238
2022-11-21 23:33:43,28.4756
2022-11-21 23:33:48,28.0511
2022-11-21 23:33:53,27.7573
2022-11-21 23:33:57,27.5224
2022-11-21 23:34:02,27.2794
2022-11-21 23:34:07,27.0737
2022-11-21 23:34:12,26.8815
2022-11-21 23:34:17,26.6972
2022-11-21 23:34:21,26.521
2022-11-21 23:34:26,26.3688
2022-11-21 23:34:31,26.2353
2022-11-21 23:34:36,26.0964
2022-11-21 23:34:41,25.9576
2022-11-21 23:34:45,25.8401
2022-11-21 23:34:50,25.7226
2022-11-21 23:34:55,25.6264
2022-11-21 23:35:00,25.5196
2022-11-21 23:35:04,25.4262
2022-11-21 23:35:09,25.3621
2022-11-21 23:35:14,25.2847
2022-11-21 23:35:19,25.2099
2022-11-21 23:35:24,25.1511
2022-11-21 23:35:28,25.0951
2022-11-21 23:35:33,25.0443
2022-11-21 23:35:38,24.9883
2022-11-21 23:35:43,24.9535
2022-11-21 23:35:48,24.9055
2022-11-21 23:35:52,24.8547
2022-11-21 23:35:57,24.8547
2022-11-21 23:36:02,24.8227
2022-11-21 23:36:07,24.796
2022-11-21 23:36:12,24.7666
2022-11-21 23:36:16,24.7453
2022-11-21 23:36:21,24.6892
2022-11-21 23:36:26,24.6918
2022-11-21 23:36:31,24.6651
2022-11-21 23:36:36,24.6384
2022-11-21 23:36:40,24.6331
2022-11-21 23:36:45,24.6064
2022-11-21 23:36:50,24.5904
2022-11-21 23:36:55,24.5744
2022-11-21 23:37:00,24.585
2022-11-21 23:37:04,24.545
2022-11-21 23:37:09,24.537
2022-11-21 23:37:14,24.5129
2022-11-21 23:37:19,24.5103
2022-11-21 23:37:24,24.5076
2022-11-21 23:37:28,24.5049
2022-11-21 23:37:33,24.5156
2022-11-21 23:37:38,24.5049
2022-11-21 23:37:43,24.5049
2022-11-21 23:37:48,24.5316
2022-11-21 23:37:52,24.5156
